antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,itemset_size
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.011643835616438357,0.015353881278538813,0.010901826484018265,0.9362745098039215,60.97966324076098,1.0,0.010723048414336649,15.451369863013674,0.9951889061836706,0.6773049645390069,0.9352808191852474,0.8231558422625556,2
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE LIVINGROOM""})",0.015353881278538813,0.011643835616438357,0.010901826484018265,0.7100371747211895,60.97966324076098,1.0,0.010723048414336649,3.408561643835616,0.998938675988432,0.6773049645390069,0.7066211192605244,0.8231558422625556,2
"frozenset({""POPPY'S PLAYHOUSE BEDROOM""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.0136986301369863,0.015353881278538813,0.012385844748858447,0.9041666666666667,58.888475836431226,1.0,0.012175517608056546,10.274568195354378,0.9966717869943678,0.7431506849315068,0.9026723088516608,0.8554290582403965,2
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM""})",0.015353881278538813,0.0136986301369863,0.012385844748858447,0.8066914498141263,58.888475836431226,1.0,0.012175517608056546,5.102212855637511,0.9983472540294865,0.7431506849315068,0.8040066088393226,0.8554290582403965,2
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.01341324200913242,0.014897260273972602,0.011073059360730594,0.8255319148936171,55.415015896307175,1.0,0.010873238803402765,5.646320581356501,0.9953046112921936,0.6423841059602651,0.8228935134675341,0.7844134670253526,2
frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.014897260273972602,0.01341324200913242,0.011073059360730594,0.7432950191570882,55.415015896307175,1.0,0.010873238803402765,3.8432708035166643,0.9968039982725283,0.6423841059602651,0.7398049601175692,0.7844134670253526,2
frozenset({'COFFEE MUG DOG + BALL DESIGN'}),frozenset({'COFFEE MUG CAT + BIRD DESIGN'}),0.014897260273972602,0.015011415525114155,0.01113013698630137,0.7471264367816092,49.77055198636423,1.0,0.010906508022142991,3.8951821295143207,0.9947264972121569,0.5927051671732523,0.7432725950289037,0.7442856518508806,2
frozenset({'COFFEE MUG CAT + BIRD DESIGN'}),frozenset({'COFFEE MUG DOG + BALL DESIGN'}),0.015011415525114155,0.014897260273972602,0.01113013698630137,0.741444866920152,49.770551986364225,1.0,0.010906508022142991,3.810029713940369,0.9948417810386867,0.5927051671732523,0.7375348553474166,0.7442856518508806,2
frozenset({'SET/10 BLUE SPOTTY PARTY CANDLES'}),frozenset({'SET/10 PINK SPOTTY PARTY CANDLES'}),0.014611872146118721,0.017865296803652966,0.01204337899543379,0.82421875,46.13518370607029,1.0,0.01178233356268635,5.5872552004058855,0.9928316986502336,0.5893854748603353,0.8210212413552623,0.7491700778753994,2
frozenset({'SET/10 PINK SPOTTY PARTY CANDLES'}),frozenset({'SET/10 BLUE SPOTTY PARTY CANDLES'}),0.017865296803652966,0.014611872146118721,0.01204337899543379,0.6741214057507988,46.13518370607029,1.0,0.01178233356268635,3.0237890590025973,0.9961205582319772,0.5893854748603353,0.6692891003680489,0.7491700778753994,2
frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.017579908675799085,0.015468036529680365,0.011872146118721462,0.6753246753246754,43.65936646379452,1.0,0.011600219449135757,3.0323584474885856,0.9945800336080374,0.560646900269542,0.6702236832099434,0.7214261753007141,2
frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.015468036529680365,0.017579908675799085,0.011872146118721462,0.7675276752767528,43.65936646379451,1.0,0.011600219449135757,4.2259657896644205,0.9924466078301083,0.560646900269542,0.7633677010718516,0.7214261753007141,2
frozenset({'ALARM CLOCK BAKELIKE RED'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.015639269406392695,0.015182648401826484,0.010159817351598174,0.6496350364963503,42.78799187750398,1.0,0.009922371822939473,2.8108328576864534,0.9921453859354459,0.4917127071823206,0.6442335597204161,0.6594039844135887,2
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.015182648401826484,0.015639269406392695,0.010159817351598174,0.6691729323308271,42.78799187750398,1.0,0.009922371822939473,2.97545402656704,0.9916853672100786,0.4917127071823206,0.6639168372049223,0.6594039844135887,2
"frozenset({'KEY FOB , BACK DOOR', 'KEY FOB , SHED'})","frozenset({'KEY FOB , GARAGE DESIGN'})",0.014611872146118721,0.017636986301369863,0.010901826484018265,0.74609375,42.30279126213592,1.0,0.0106441170951398,3.8689989462592203,0.9908389094032188,0.5106951871657753,0.7415352100400906,0.6821083636731391,3
"frozenset({'KEY FOB , GARAGE DESIGN'})","frozenset({'KEY FOB , BACK DOOR', 'KEY FOB , SHED'})",0.017636986301369863,0.014611872146118721,0.010901826484018265,0.6181229773462783,42.30279126213592,1.0,0.0106441170951398,2.580380775481774,0.9938901244516398,0.5106951871657753,0.612460296750857,0.6821083636731391,3
"frozenset({'KEY FOB , FRONT  DOOR'})","frozenset({'KEY FOB , BACK DOOR'})",0.014155251141552512,0.019691780821917807,0.011472602739726027,0.8104838709677419,41.15848527349229,1.0,0.011193860636767373,5.17269017779073,0.9897133139305787,0.5127551020408164,0.806676996760107,0.6965462833099578,2
"frozenset({'KEY FOB , BACK DOOR'})","frozenset({'KEY FOB , FRONT  DOOR'})",0.019691780821917807,0.014155251141552512,0.011472602739726027,0.5826086956521739,41.15848527349228,1.0,0.011193860636767373,2.361919710806697,0.9953029611766495,0.5127551020408164,0.576615582898685,0.6965462833099578,2
"frozenset({'KEY FOB , SHED'})","frozenset({'KEY FOB , BACK DOOR', 'KEY FOB , GARAGE DESIGN'})",0.02254566210045662,0.012271689497716894,0.010901826484018265,0.4835443037974684,39.403238151309985,1.0,0.010625153119201017,1.912513150237264,0.997101692972064,0.45584725536992843,0.477127778245111,0.6859581984103621,3
